title,url,author,date
Import: Appsec,https://medium.com/@SagivPeer/import-appsec-261e52c3d2d5?source=rss------application_security-5,Sagiv Peer,2022-11-21T19:30:36.896Z
Top 10 Web Application Security Solutions,https://makendrang.medium.com/top-10-web-application-security-solutions-e38b7416557?source=rss------application_security-5,Makendran G,2022-11-20T09:41:37.630Z
How Can You Improve Yourself on Web Application Security?,https://medium.com/databulls/how-can-you-improve-yourself-on-web-application-security-e0d65f441e8f?source=rss------application_security-5,Ismail Tasdelen,2022-11-22T09:50:31.168Z
Establishing Application Security Visibility,https://medium.com/@stephen-knight/establishing-application-security-visibility-c69c68e16d47?source=rss------application_security-5,Stephen Knight,2022-11-17T14:53:57.744Z
How proactive API visibility could have saved Optus from a massive data breach,https://privado-ai.medium.com/how-proactive-api-visibility-could-have-saved-optus-from-a-massive-data-breach-be49fc54ee40?source=rss------application_security-5,Privado.ai,2022-11-16T11:58:05.382Z
Putting the Sec in DevSecOps,https://blog.devgenius.io/putting-the-sec-in-devsecops-3e4f33eb5cc8?source=rss------application_security-5,Manning Publications,2022-11-17T08:44:08.669Z
AWS Secrets Manager vs. SSM Parameter Store,https://medium.com/cloud-security/aws-secrets-manager-vs-ssm-parameter-store-a765fe09f5f0?source=rss------application_security-5,Teri Radichel,2022-11-23T16:40:23.379Z
Unsuspecting Data Leaks: A healthtech nightmare,https://privado-ai.medium.com/unsuspecting-data-leaks-a-healthtech-nightmare-b654eea2408c?source=rss------application_security-5,Privado.ai,2022-11-16T12:03:04.717Z
OWASP TOP 10,https://medium.com/elevator-pitches/owasp-top-10-8f0e4a919bf8?source=rss------application_security-5,Me Writes,2022-11-21T01:39:59.752Z
Providence of Code,https://travishoyt.medium.com/providence-of-code-72fd47a81dde?source=rss------hacking-5,Travis Hoyt,2022-11-24T08:43:46.277Z
Deliver full stack applications like a senior with low code [React+urql+GraphQL+Agoston] — Part 2,https://medium.com/@nicolas_penot/deliver-full-stack-applications-like-a-senior-with-low-code-react-urql-graphql-agoston-part-2-10f9cf6c8dcd?source=rss------hacking-5,Nicolas Penot,2022-11-24T08:38:03.035Z
Tryhackme — Skynet ( CTF),https://medium.com/@Aur3lius/tryhackme-skynet-ctf-6a16ec0567fa?source=rss------hacking-5,Aurelius,2022-11-24T08:19:29.647Z
Indian analogue of Twitter with a funny name broke due to the influx of pranksters from Brazil,https://medium.com/@shladkov/indian-analogue-of-twitter-with-a-funny-name-broke-due-to-the-influx-of-pranksters-from-brazil-93ff79dffbd9?source=rss------hacking-5,Alex Shladkov,2022-11-24T07:48:15.258Z
OWASP Security,https://janisagar.medium.com/owasp-security-ba8cd05f4fd7?source=rss------hacking-5,Sagar Jani,2022-11-24T04:11:55.348Z
"DraftKings gamblers lose $300,000 to credential stuffing attack",https://medium.com/@spixnet.gmbh/draftkings-gamblers-lose-300-000-to-credential-stuffing-attack-8564117961de?source=rss------hacking-5,Spixnet Gmbh,2022-11-24T04:02:56.643Z
OWASP API Security — B,https://janisagar.medium.com/owasp-api-security-b-aa1fddceae39?source=rss------hacking-5,Sagar Jani,2022-11-24T04:12:53.371Z
%100 Untraceable PayPal Bank wU Cashapp Venmo transfer blank atm and credit cards 2022 BTC Wallet…,https://medium.com/@amanda247foley/100-untraceable-paypal-bank-wu-cashapp-venmo-transfer-blank-atm-and-credit-cards-2022-btc-wallet-b852bfde2776?source=rss------hacking-5,Amandafoley,2022-11-24T01:27:21.849Z
Hackers breach energy orgs via bugs in discontinued web server,https://medium.com/@spixnet.gmbh/hackers-breach-energy-orgs-via-bugs-in-discontinued-web-server-b767088a6cdd?source=rss------hacking-5,Spixnet Gmbh,2022-11-24T00:01:57.310Z
How private are your phone conversations and text message?,https://medium.com/@dazzledave/how-private-are-your-phone-conversations-and-text-message-56cdbf8c99ff?source=rss------hacking-5,David Gomado,2022-11-23T23:05:45.309Z
On the Wire — Hacktoria Contract Walkthrough,https://earthtoyash.medium.com/on-the-wire-hacktoria-contract-walkthrough-6aed4a019047?source=rss------infosec-5,Yashwant Singh,2022-11-23T19:12:13.951Z
Capture The Flag Challenge,https://socfortress.medium.com/capture-the-flag-challenge-46b58d170e43?source=rss------infosec-5,SOCFortress,2022-11-23T15:28:57.303Z
The Role of SOC teams in Securing your Organization,https://sennovate.medium.com/the-role-of-soc-teams-in-securing-your-organization-19feed68ebd4?source=rss------infosec-5,Sennovate,2022-11-23T13:32:39.197Z
Red Team vs Blue Team vs Purple Team,https://medium.com/@techeducative/red-team-vs-blue-team-vs-purple-team-157c18c7980a?source=rss------infosec-5,TechEducative,2022-11-23T11:11:56.596Z
Klumgongyn return — Hacktoria Contract Walkthrough,https://earthtoyash.medium.com/klumgongyn-return-hacktoria-contract-walkthrough-acba5440183a?source=rss------infosec-5,Yashwant Singh,2022-11-23T02:41:56.935Z
"I followed myself, for months, through Apple’s Find My network",https://medium.com/@stephanjanssen/i-followed-myself-for-months-through-apples-find-my-network-95b7d6f2e8b1?source=rss------infosec-5,Stephan Janssen,2022-11-22T21:17:22.381Z
Interesting Stored XSS via meta data,https://medium.com/pentesternepal/interesting-stored-xss-via-meta-data-eb8fe1de8b33?source=rss------infosec-5,Veshraj Ghimire,2022-11-22T18:14:13.327Z
"We Asked 5 Celebrities What Their Favorite Internet-Exposed Dashboard Was, And You’re Not Going To…",https://ycamper.medium.com/we-asked-5-celebrities-what-their-favorite-internet-exposed-dashboard-was-and-youre-not-going-to-e7009870b76f?source=rss------infosec-5,ycamper,2022-11-22T18:58:47.045Z
The Best of Venture in Security,https://medium.com/@rosshaleliuk/the-best-of-venture-in-security-fc5720668eb5?source=rss------infosec-5,Ross Haleliuk,2022-11-22T16:28:37.326Z
MDMA E PILLOLE DI ECSTASY.,https://medium.com/@faibryan50/mdma-e-pillole-di-ecstasy-6b63fe8f3c8f?source=rss------cybersecurity-5,Faibryan,2022-11-24T09:33:10.461Z
The Lowdown on How to Avoid Con Artists,https://georgejziogas.medium.com/the-lowdown-on-how-to-avoid-con-artists-8d653ab6492e?source=rss------cybersecurity-5,George J. Ziogas,2022-11-24T09:26:33.998Z
VirtualBox et Kali : Débuter en Cybersécurité,https://medium.com/@valonrexhepi/virtualbox-et-kali-d%C3%A9buter-en-cybers%C3%A9curit%C3%A9-bee485347b09?source=rss------cybersecurity-5,Valon Rexhepi,2022-11-24T09:02:50.581Z
TABLETE MDMA I ECSTASY.,https://medium.com/@faibryan50/tablete-mdma-i-ecstasy-4794639e7f63?source=rss------cybersecurity-5,Faibryan,2022-11-24T08:36:51.425Z
Top 10 Exploited Vulnerabilities in 2022,https://immuniweb.medium.com/top-10-exploited-vulnerabilities-in-2022-d8d81b831f67?source=rss------cybersecurity-5,ImmuniWeb,2022-11-24T08:14:15.978Z
Cyberangriffe auf veraltete Zutrittskontrollsysteme,https://medium.com/@spixnet.gmbh/cyberangriffe-auf-veraltete-zutrittskontrollsysteme-daab443dddb8?source=rss------cybersecurity-5,Spixnet Gmbh,2022-11-24T08:04:39.777Z
Cybersicherheit — raus aus den Silos,https://medium.com/@spixnet.gmbh/cybersicherheit-raus-aus-den-silos-611929bce6e2?source=rss------cybersecurity-5,Spixnet Gmbh,2022-11-24T07:02:47.780Z
Noname launches Recon — The Easiest Way To Secure Your APIs,https://medium.com/@NewGens/noname-launches-recon-the-easiest-way-to-secure-your-apis-cd16f90dd153?source=rss------cybersecurity-5,NewGens,2022-11-24T05:30:40.633Z
Celebrity Cybersecurity And Reputation,https://alanwsilberberg.medium.com/celebrity-cybersecurity-and-reputation-62dd249b69c9?source=rss------cybersecurity-5,Alan W. Silberberg,2022-11-24T05:27:42.997Z
TryHackMe Daily Bugle Writeup,https://medium.com/@amirkartik.ak/tryhackme-daily-bugle-writeup-5ab7839f4fdd?source=rss------ctf-5,Amir kartik,2022-11-24T09:41:23.440Z
Tryhackme — Skynet ( CTF),https://medium.com/@Aur3lius/tryhackme-skynet-ctf-6a16ec0567fa?source=rss------ctf-5,Aurelius,2022-11-24T08:19:29.647Z
On the Wire — Hacktoria Contract Walkthrough,https://earthtoyash.medium.com/on-the-wire-hacktoria-contract-walkthrough-6aed4a019047?source=rss------ctf-5,Yashwant Singh,2022-11-23T19:12:13.951Z
TryHackMe Skynet Writeup,https://medium.com/@amirkartik.ak/tryhackme-skynet-writeup-2913feb286c7?source=rss------ctf-5,Amir kartik,2022-11-23T12:48:47.350Z
TRYHACKME: AnonForce(writeup),https://systemweakness.com/tryhackme-anonforce-writeup-507eca11b16d?source=rss------ctf-5,Ali AK,2022-11-23T12:28:00.315Z
Klumgongyn return — Hacktoria Contract Walkthrough,https://earthtoyash.medium.com/klumgongyn-return-hacktoria-contract-walkthrough-acba5440183a?source=rss------ctf-5,Yashwant Singh,2022-11-23T02:41:56.935Z
TryHackMe Net Sec Challenge Writeup,https://medium.com/@amirkartik.ak/tryhackme-net-sec-challenge-writeup-2c9a0642e46f?source=rss------ctf-5,Amir kartik,2022-11-22T14:46:12.868Z
TryHackMe Pickle Rick Writeup,https://medium.com/@amirkartik.ak/tryhackme-pickle-rick-ctf-b7e37896a9e1?source=rss------ctf-5,Amir kartik,2022-11-22T14:51:00.726Z
Resolute — Hack The Box,https://aliusmanclay67.medium.com/resolute-hack-the-box-ae7f8f68c78a?source=rss------ctf-5,Aliusmanclay67,2022-11-22T09:38:51.218Z
Chill Hack,https://systemweakness.com/thm-chill-hack-ac9bfddd7e76?source=rss------ctf-5,gh0stsh3ll5619,2022-11-22T14:22:27.109Z
OAuth and the flaws in its implementation,https://medium.com/@capturethebugs/oauth-and-the-flaws-in-its-implementation-be750d9e613c?source=rss------penetration_testing-5,Capture The Bug,2022-11-24T09:43:43.281Z
PNPT: Practical Network Penetration Tester Review,https://javy26.medium.com/pnpt-practical-network-penetration-tester-review-f7603290de7a?source=rss------penetration_testing-5,Jevon Davis,2022-11-23T16:48:55.092Z
